date,id,jansi_type,jansi_english_name,jansi_gujarati_name,arrival,lowrate,highrate,month,year,avg_rate
2025-01-02,87502,grain,Soyabin,સોયાબીન,0.017391304347826087,800,843,1,2025,0.07068284424379233
2025-01-02,87503,grain,Groundnut-Fada,સીંગફાડા,0.024347826086956525,1050,1300,1,2025,0.10393152746425884
2025-01-02,87504,grain,Sesmum-Black,કાળા તલ ,0.0026086956521739132,3450,4920,1,2025,0.38703912716328065
2025-01-02,87505,grain,Garlic,લસણ,0.006978260869565218,1651,3750,1,2025,0.2474134687735139
2025-01-02,87506,grain,Corriander,ધાણા,0.002173913043478261,1110,1491,1,2025,0.11573551542513168
2025-01-02,87507,grain,Chillies,મરચા સુકા ,0.006086956521739131,1000,2450,1,2025,0.15566215199398042
2025-01-02,87508,grain,Dhani,ધાણી,0.0010869565217391304,1120,1501,1,2025,0.11667607223476298
2025-01-02,87509,grain,Variyali,વરીયાળી,0.0017391304347826088,1180,1588,1,2025,0.12358916478555305
2025-01-02,87510,grain,Cummin,જીરૂ,0.01956521739130435,4125,4550,1,2025,0.401382618510158
2025-01-02,87511,grain,Mustard,રાય,0.0027173913043478264,1030,1280,1,2025,0.10205041384499623
2025-01-02,87512,grain,Fenugreek,મેથી,0.004347826086956522,950,1291,1,2025,0.09880549285176825
2025-01-02,87513,grain,Mustard seed,રાયડો,0.0010869565217391304,950,1100,1,2025,0.08982317531978931
2025-01-02,87514,grain,Guvar Bee,ગુવારનું બી,0.0002173913043478261,1021,1021,1,2025,0.0894469525959368
2025-01-03,87550,grain,Cotton B.T.,કપાસ બી.ટી.,0.0782608695652174,1300,1511,1,2025,0.12561136192626032
2025-01-03,87551,grain,Wheat Lokvan,ઘઉં લોકવન,0.0032608695652173916,587,630,1,2025,0.050648984198645594
2025-01-03,87552,grain,Wheat Tukda,ઘઉં ટુકડા,0.01956521739130435,604,662,1,2025,0.052953348382242284
2025-01-03,87553,grain,Jowar White,જુવાર સફેદ,0.0007608695652173914,761,866,1,2025,0.06993039879608728
2025-01-03,87554,grain,Jowar Yellow,જુવાર પીળી ,0.0007608695652173914,411,550,1,2025,0.03860985703536494
2025-01-03,87555,grain,Bajri,બાજરી,4.347826086956522e-05,465,465,1,2025,0.03715199398043642
2025-01-03,87556,grain,Tuver,તુવેર,0.004347826086956522,1300,1755,1,2025,0.1370861550037622
2025-01-03,87557,grain,Gram Yellow,ચણા પીળા,0.007608695652173913,1050,1315,1,2025,0.10463694507148232
2025-01-03,87558,grain,Gram White,ચણા સફેદ,0.003695652173913044,1300,2645,1,2025,0.17894093303235514
2025-01-03,87559,grain,Urad,અડદ,0.01132608695652174,1050,1650,1,2025,0.12039127163280662
2025-01-03,87560,grain,Mung,મગ,0.01032608695652174,1525,2020,1,2025,0.1601297968397291
2025-01-03,87561,grain,Val Deshi,વાલ દેશી,0.0004782608695652174,1150,1500,1,2025,0.11803987960872836
2025-01-03,87562,grain,Choli,ચોળી,0.0023913043478260873,1300,2390,1,2025,0.16694883370955604
2025-01-03,87563,grain,Math,મઠ,0.0032608695652173916,900,1281,1,2025,0.09598382242287434
2025-01-03,87564,grain,Kulthi,કળથી,0.0008695652173913044,900,1070,1,2025,0.0860609480812641
2025-01-03,87565,grain,Groundnut Seed,સીંગદાણા,0.00026086956521739134,1175,1350,1,2025,0.11216139954853273
2025-01-03,87566,grain,Groundnut Big,મગફળી જાડી,0.1565217391304348,930,1155,1,2025,0.09146914973664409
2025-01-03,87567,grain,Groundnut Small,મગફળી જીણી,0.23478260869565218,907,1240,1,2025,0.09438487584650113
2025-01-03,87568,grain,Seasmum,તલી ,0.012173913043478262,2050,2600,1,2025,0.21209556057185852
